omega,P_omega_delta_0.15,P_omega_delta_-0.15
-4188.7,3.6277806313498816e-23,9.888193717194812e-22
-4188.5,1.4916145471158928e-22,3.0186910202953056e-22
-4188.299999999999,3.979482612923614e-21,1.0820845378492867e-21
-4188.099999999999,6.145837369056012e-21,3.3958714561339875e-21
-4187.9,2.5978961203318153e-21,3.0955800042231522e-21
-4187.7,7.585098912490914e-21,8.718022098175186e-22
-4187.5,1.1522093667207656e-20,1.5572558286611287e-21
-4187.299999999999,1.899145626017128e-20,7.624995258056166e-22
-4187.099999999999,1.8255094129711744e-20,6.799543827960306e-22
-4186.9,1.1918077422141909e-20,6.330510215446519e-22
-4186.7,3.9281339294463794e-21,3.691209669186433e-21
-4186.5,7.944915462421047e-21,7.8377223562173e-21
-4186.299999999999,3.798954801653061e-21,7.603648905568423e-22
-4186.099999999999,6.557309345957894e-22,9.330338019307402e-22
-4185.9,2.2637676610615866e-21,7.001829920999741e-21
-4185.7,1.442458624649903e-20,4.887684886530876e-21
-4185.5,1.8725628874022615e-20,7.407398320984035e-21
-4185.299999999999,1.8036197205003666e-20,5.659644639909935e-21
-4185.099999999999,7.628350313282764e-21,2.961134752479872e-21
-4184.9,1.6197705183457121e-21,3.08048021093449e-21
-4184.7,7.742607127674479e-22,2.323296607133229e-21
-4184.5,2.1033518563209585e-21,4.173124806106129e-21
-4184.299999999999,3.0069022591429905e-21,2.5478017093354545e-21
-4184.099999999999,1.1527212802274654e-21,1.1626664795980287e-21
-4183.9,1.9998286300751202e-21,6.4130952787962254e-21
-4183.7,7.430200176693384e-21,2.478398478018408e-21
-4183.499999999999,6.527353744812365e-22,1.1989315512685569e-21
-4183.299999999999,3.430931375691863e-21,2.0978765874377216e-22
-4183.099999999999,8.844672137633485e-22,1.74976132722505e-21
-4182.9,1.7739477318064435e-20,5.850965813686476e-21
-4182.7,1.2585597380602303e-20,2.3639408230663125e-21
-4182.499999999999,9.248519642357563e-21,1.4255360232536811e-21
-4182.3,3.6174541675383114e-21,1.2017572014052489e-22
-4182.1,7.289528202765377e-21,3.1925503876927555e-21
-4181.9,2.162961670649927e-21,4.435808304611108e-21
-4181.7,1.788058113012309e-20,3.2789424027678924e-21
-4181.5,1.0027218253521055e-20,7.875567037620388e-23
-4181.3,9.202679648711098e-21,3.194625843581086e-21
-4181.1,1.773952418223644e-21,7.386497163993182e-21
-4180.9,8.902083299574866e-21,1.0471682612598503e-20
-4180.7,2.2982135323503397e-21,1.4760265324164237e-20
-4180.5,2.2309202830744618e-21,6.069650646148448e-21
-4180.3,5.257752148648703e-21,6.49392005767367e-22
-4180.099999999999,4.923307454384263e-21,1.1506657940180096e-21
-4179.9,1.546197517343308e-20,9.052287288256738e-22
-4179.7,1.4708289115455295e-22,7.185013390711273e-22
-4179.5,8.597381731694553e-21,1.6012583711102794e-21
-4179.3,2.458501313252175e-21,2.3005808890463152e-21
-4179.099999999999,1.0298632029317294e-20,3.0521620374117456e-21
-4178.9,7.282003246607163e-21,5.0259663444889854e-24
-4178.7,5.438612558279067e-21,1.2531561271318456e-20
-4178.5,1.0477569345326156e-20,6.827429814018324e-21
-4178.3,1.453999231196533e-22,1.8763730933218033e-21
-4178.099999999999,4.35092934147522e-21,1.2354221474337129e-20
-4177.9,3.3652226153427222e-21,4.6278040189705154e-21
-4177.7,4.465433820854633e-21,3.2308714519049267e-21
-4177.5,8.99632621949857e-21,1.5328937400810597e-21
-4177.3,1.05192623624792e-20,2.3577563357437763e-21
-4177.099999999999,2.661909563468105e-21,6.540282453184841e-22
-4176.9,1.1045266390872871e-20,6.405612078959345e-21
-4176.7,1.2234482811927421e-20,1.6210956908622616e-21
-4176.5,1.5007545212800831e-21,3.1280873580443863e-24
-4176.3,2.7197175571823795e-20,3.838973531029861e-21
-4176.099999999999,1.1296326013255666e-21,4.669991833579601e-21
-4175.9,3.4151551559966366e-21,2.169027508005397e-21
-4175.7,1.0245995560540686e-20,2.4475427290670314e-21
-4175.5,2.680401084498065e-21,6.871800013565771e-22
-4175.299999999999,3.2081288618104144e-21,3.968782640762392e-21
-4175.099999999999,2.0756556525312744e-20,5.308497029363342e-22
-4174.9,6.330343111375776e-21,5.071700507101238e-21
-4174.7,1.533183651355503e-20,1.611268978754623e-20
-4174.5,3.14949248201158e-21,9.47231534490943e-21
-4174.299999999999,1.710028352310207e-20,4.6898193183502815e-21
-4174.099999999999,1.2770931053297e-22,1.4345188027273142e-21
-4173.9,1.6708641339846266e-20,3.812596463516021e-22
-4173.7,1.5543060275713462e-21,6.758736651770803e-21
-4173.5,6.4326252348572e-21,9.710248359826159e-21
-4173.299999999999,2.1836622318358837e-20,1.2410420215281728e-21
-4173.099999999999,2.959133914464985e-22,7.882554076474712e-22
-4172.9,3.397819920028071e-21,1.6646957858735745e-22
-4172.7,1.099508559469195e-20,3.423603594010509e-21
-4172.5,7.814969806630973e-21,4.155053486257117e-21
-4172.299999999999,9.412751576557069e-21,2.665984927189952e-21
-4172.099999999999,1.0686497034248662e-20,8.024186362742313e-22
-4171.9,5.456810259009261e-21,7.336463658309094e-23
-4171.7,3.824944989455716e-21,8.463509274933567e-22
-4171.5,1.3548642815685873e-20,2.7912208124359583e-21
-4171.299999999999,1.4095631629136715e-20,4.869807364561142e-21
-4171.099999999999,2.3517737125129414e-21,9.04090308852972e-21
-4170.9,1.3182991301089479e-20,1.2843488724179842e-20
-4170.7,5.5123919111857745e-21,2.0597754141042606e-21
-4170.499999999999,2.6059627179850597e-20,1.0836278927782888e-22
-4170.299999999999,6.416333480499372e-22,3.9146123899510646e-22
-4170.099999999999,3.9011420177642284e-20,2.5713517989310507e-21
-4169.9,4.80679477444799e-21,8.089962592678524e-22
-4169.7,1.6161365823251304e-20,2.5403098859874584e-21
-4169.5,9.749548019431653e-21,1.2178728074733925e-20
-4169.3,1.4522446368306994e-20,4.0589161533238917e-22
-4169.1,6.130524232430048e-21,3.522961893831721e-21
-4168.9,1.1105137966868861e-20,6.699105212014469e-21
-4168.7,1.8623485746167983e-20,3.400791822167822e-21
-4168.5,6.7421858858217414e-21,4.9836050575107766e-21
-4168.3,1.9794595614375573e-20,3.521730465196258e-21
-4168.099999999999,8.920197017641004e-22,7.776656477340035e-22
-4167.9,3.4931473623604947e-20,2.866781880439076e-22
-4167.7,7.713220945322063e-21,8.819171693801293e-22
-4167.5,8.10472997738057e-21,8.158442235311595e-21
-4167.3,8.647872302670619e-21,1.1892919449736985e-21
-4167.099999999999,3.1916369611545227e-20,7.954231634270486e-22
-4166.9,3.1304573849871194e-22,1.805239330068484e-21
-4166.7,2.9208190304705916e-20,4.599691878963976e-21
-4166.5,1.3063264698880807e-20,5.414193863667063e-21
-4166.3,1.5872660841042503e-20,1.6126822055842795e-21
-4166.099999999999,4.709480153958239e-21,1.3484299593692177e-21
-4165.9,4.1638684819307586e-20,1.0903230285319732e-20
-4165.7,1.6032521046396472e-21,5.769592065827102e-21
-4165.5,2.09571080550315e-20,3.678795022825936e-21
-4165.3,2.391704546572312e-20,1.931909888427676e-21
-4165.099999999999,8.625320930265438e-21,2.277261240663676e-21
-4164.9,1.2334282418669751e-20,9.789866332746848e-22
-4164.7,2.666776456039375e-20,3.0529388966285177e-21
-4164.5,1.0753741809666754e-20,9.849373554962211e-21
-4164.3,1.7773019007579385e-20,5.2309776782722475e-21
-4164.099999999999,1.2218861927991045e-20,2.2548839520498286e-21
-4163.9,2.3360018895418147e-20,3.218524330077107e-21
-4163.7,1.465336091039387e-20,4.7121541602945606e-21
-4163.5,2.0272055018246216e-20,6.322585101753156e-21
-4163.299999999999,1.9411675452444226e-20,1.5510040893952198e-21
-4163.099999999999,2.2211661822460366e-20,3.4878534114061034e-23
-4162.9,2.3765689347029476e-20,3.8714134575782157e-22
-4162.7,1.2604259260728373e-20,8.578989980082823e-21
-4162.5,3.3601094823503304e-20,1.0393967823866121e-20
-4162.299999999999,1.3380155266728966e-20,4.731364884319189e-22
-4162.099999999999,1.882443255380486e-20,2.2902551393257538e-21
-4161.9,1.5033976362871248e-20,1.3882463639097688e-21
-4161.7,3.729710397468976e-20,1.3335381046635615e-22
-4161.5,1.762753138434549e-21,1.0561244462218127e-21
-4161.299999999999,4.147782686713742e-20,1.1913677553702914e-20
-4161.099999999999,1.3037882860682268e-20,6.259970580255212e-22
-4160.9,2.2297530746877008e-20,2.3540633121167365e-23
-4160.7,2.711113132677312e-20,3.858979880594807e-22
-4160.5,1.0124812629620865e-20,5.436640181795594e-21
-4160.299999999999,4.057456915761672e-20,2.250176752159332e-22
-4160.099999999999,2.1121794968397535e-20,2.9317963504897145e-21
-4159.9,9.533337246011159e-21,4.7366519389869685e-22
-4159.7,3.126990793179989e-20,1.0832399287129798e-21
-4159.5,1.4546106593647103e-20,1.2257300260037352e-20
-4159.299999999999,2.7203954714187734e-20,1.2819806564713143e-20
-4159.099999999999,2.542213217352149e-20,5.853023091568865e-21
-4158.9,1.951664861068756e-20,9.959385363060395e-22
-4158.7,2.9033838981891927e-20,5.157050935990599e-21
-4158.499999999999,1.2280486282290306e-20,7.204839382770092e-21
-4158.299999999999,2.6166863580950163e-20,5.095163517674513e-21
-4158.099999999999,2.0929989937556615e-20,4.069377614896528e-21
-4157.9,4.947618585083032e-20,5.463645114758928e-21
-4157.7,8.296610156618607e-21,4.943656884809256e-22
-4157.5,3.875797984992456e-20,2.729319901301064e-22
