Time_step,Omega_New,S_Omega
10,-41.800000000000004,4.1710301884545455e-11
10,-41.6,3.823332923648576e-11
10,-41.4,3.5225741927511825e-11
10,-41.2,3.913948489390239e-11
10,-41.0,4.668231685933065e-11
10,-40.800000000000004,4.5009526124191966e-11
10,-40.6,1.824912330695299e-11
10,-40.4,7.955513007976896e-12
10,-40.2,1.7415492365978147e-11
10,-40.0,3.1150012378818087e-11
10,-39.8,3.042255972254926e-11
10,-39.6,2.5657522754656576e-11
10,-39.4,3.1329197894929753e-11
10,-39.199999999999996,2.403644167541621e-11
10,-39.0,2.7232974835287225e-11
10,-38.8,5.148245704789947e-11
10,-38.6,7.490916144477136e-11
10,-38.4,9.540211070643845e-11
10,-38.199999999999996,1.4283035019119282e-10
10,-38.0,1.641104212979116e-10
10,-37.8,7.103377788141183e-11
10,-37.60000000000001,2.60535202823854e-12
10,-37.4,5.590073378108804e-11
10,-37.2,1.2919913251505483e-10
10,-37.0,7.030464820600571e-11
10,-36.800000000000004,1.5422003888505686e-10
10,-36.6,1.235363538482379e-10
10,-36.400000000000006,2.219703705498243e-11
10,-36.2,3.40946965028e-10
10,-36.00000000000001,9.964708491885977e-10
10,-35.800000000000004,5.236127203101232e-10
10,-35.6,8.893115478166124e-11
10,-35.400000000000006,7.464682274668258e-11
10,-35.2,4.714711080017791e-10
10,-35.0,1.0373821899410278e-09
10,-34.800000000000004,1.6306612947178122e-09
10,-34.6,2.3591818552461783e-09
10,-34.400000000000006,2.015723849251063e-09
10,-34.2,1.5407510080998117e-09
10,-34.0,9.315835926098002e-10
10,-33.800000000000004,1.2701020637156406e-09
10,-33.6,3.6713389166285603e-09
10,-33.4,8.903058284169972e-09
10,-33.2,1.6756946821007087e-08
10,-33.0,2.0142196452432682e-08
10,-32.800000000000004,1.391973802153092e-08
10,-32.6,4.305984484368386e-09
10,-32.4,9.156896830546049e-10
10,-32.2,2.7051119492683177e-10
10,-32.0,1.786696874702357e-10
10,-31.8,2.292918164178966e-09
10,-31.599999999999998,1.3658223101990205e-08
10,-31.4,3.6285822593652856e-08
10,-31.2,5.110141103980426e-08
10,-31.0,5.208432837979679e-08
10,-30.799999999999997,4.254956804068215e-08
10,-30.599999999999998,3.867971973046096e-08
10,-30.4,3.5268320613121415e-08
10,-30.2,3.256173910011558e-08
10,-30.000000000000004,2.916835091521612e-08
10,-29.8,2.184071701344839e-08
10,-29.6,1.6193384913730202e-08
10,-29.400000000000002,9.077485799880481e-09
10,-29.200000000000003,1.013208275437427e-08
10,-29.0,2.3125380047114847e-08
10,-28.8,2.754393669870457e-08
10,-28.6,1.7018432434526005e-08
10,-28.400000000000002,1.675070165796007e-08
10,-28.2,3.380454300549711e-08
10,-28.0,5.4537101530323996e-08
10,-27.800000000000004,4.521570180500902e-08
10,-27.600000000000005,1.782691725300561e-08
10,-27.400000000000002,1.2519425648800335e-08
10,-27.200000000000003,3.5936087044357093e-08
10,-27.000000000000004,5.225508079692953e-08
10,-26.800000000000004,2.6763566618798594e-08
10,-26.6,1.1527960245148472e-08
10,-26.400000000000002,1.768807103090437e-08
10,-26.200000000000003,2.8823718556177037e-09
10,-26.000000000000004,5.197269576474473e-09
10,-25.8,2.687424452722988e-08
10,-25.6,8.996392975374609e-08
10,-25.400000000000002,1.6138241595518448e-07
10,-25.200000000000003,1.1064230413386283e-07
10,-25.0,4.007516775777615e-09
10,-24.8,1.0937708026502483e-07
10,-24.6,2.5599024720235813e-07
10,-24.400000000000002,1.3543629814075614e-07
10,-24.2,4.5772199250551295e-08
10,-24.0,5.341890278297316e-08
10,-23.8,3.7352006533537396e-09
10,-23.599999999999998,1.7322305651498887e-07
10,-23.4,3.911739280833262e-07
10,-23.2,3.120723435254183e-07
10,-23.0,1.770063335051404e-07
10,-22.799999999999997,1.2457242047808702e-07
10,-22.599999999999998,3.420113529634317e-08
10,-22.400000000000002,4.833551942174316e-08
10,-22.200000000000003,2.982578889959921e-07
10,-22.000000000000004,1.505069425797421e-07
10,-21.8,1.9413324725643793e-08
10,-21.6,1.9882471365896442e-07
10,-21.400000000000002,2.9713812675072996e-07
10,-21.200000000000003,8.781621723206052e-07
10,-21.0,1.2806114419424795e-06
10,-20.8,9.06985872395723e-07
10,-20.6,4.051007849996525e-07
10,-20.400000000000002,1.247036411096135e-07
10,-20.2,2.0054274792902873e-08
10,-20.0,1.4386682125236319e-08
10,-19.8,5.2644712117181986e-08
10,-19.599999999999998,9.684286541588435e-08
10,-19.4,6.594921646128707e-08
10,-19.2,2.9087405869731648e-08
10,-19.0,5.49020647227876e-08
10,-18.799999999999997,9.79954687372343e-08
10,-18.599999999999998,5.545598652088461e-07
10,-18.4,1.3351608785560696e-06
10,-18.200000000000003,1.8509820681922637e-06
10,-18.000000000000004,2.052986011869932e-06
10,-17.8,1.6965309182160841e-06
10,-17.6,6.827921332879472e-07
10,-17.400000000000002,3.961826688558289e-08
10,-17.200000000000003,8.2927963695195e-08
10,-17.0,3.979814670819246e-07
10,-16.8,1.3106897503349686e-06
10,-16.6,2.148578953735546e-06
10,-16.400000000000002,1.7182080951719872e-06
10,-16.2,8.038158655110596e-07
10,-16.0,2.3292833010744e-07
10,-15.799999999999999,1.6540735373164663e-07
10,-15.6,5.457499123897146e-07
10,-15.399999999999999,5.74118449689064e-07
10,-15.2,1.9671554260470696e-07
10,-14.999999999999998,2.678856472517394e-07
10,-14.799999999999999,4.634588682955172e-07
10,-14.599999999999998,3.1978076300497366e-07
10,-14.399999999999999,2.5738804087065557e-07
10,-14.199999999999998,2.456755127357934e-07
10,-14.000000000000002,2.616079284957005e-07
10,-13.800000000000002,4.300735027560275e-07
10,-13.600000000000001,6.325951463128811e-07
10,-13.400000000000002,7.343101177602104e-07
10,-13.200000000000001,5.409561544860254e-07
10,-13.000000000000002,2.1236363980122866e-07
10,-12.8,1.7395512884379012e-07
10,-12.600000000000001,2.5649941299653065e-07
10,-12.4,6.12437671494644e-07
10,-12.200000000000001,1.1534731946286297e-06
10,-12.0,1.4071985848577672e-06
10,-11.799999999999999,1.3072634283454262e-06
10,-11.6,6.620697744371503e-07
10,-11.399999999999999,3.1361386866517674e-07
10,-11.2,2.164812553702997e-07
10,-10.999999999999998,5.8826856522407645e-08
10,-10.799999999999999,2.5728273787458424e-07
10,-10.599999999999998,5.49830609932759e-07
