Time_step,Omega_New,S_Omega
10,-41.800000000000004,4.2355148977984825e-13
10,-41.6,1.1277020003813536e-12
10,-41.4,5.382003235422436e-12
10,-41.2,1.3040825620106997e-11
10,-41.0,1.1230622119641578e-11
10,-40.800000000000004,1.6583489528439345e-12
10,-40.6,1.5079262569258416e-12
10,-40.4,2.149465481741978e-12
10,-40.2,5.980673558168262e-13
10,-40.0,2.09306697293657e-13
10,-39.8,5.888292547771404e-13
10,-39.6,1.0736671030712636e-12
10,-39.4,1.1971981306866612e-11
10,-39.199999999999996,1.6547050304469377e-11
10,-39.0,6.616060856526509e-12
10,-38.8,3.1296158395367377e-12
10,-38.6,2.762484773944272e-12
10,-38.4,1.7323828770549773e-12
10,-38.199999999999996,2.0700757119359193e-13
10,-38.0,1.19357989094895e-13
10,-37.8,1.363974188265012e-12
10,-37.60000000000001,4.616456161393461e-12
10,-37.4,3.735814489314807e-12
10,-37.2,1.0915241653636498e-11
10,-37.0,1.5665568677803762e-11
10,-36.800000000000004,7.383382546465256e-12
10,-36.6,4.323204580797313e-13
10,-36.400000000000006,7.391590430853753e-12
10,-36.2,9.007107638479607e-12
10,-36.00000000000001,2.1732253378067977e-12
10,-35.800000000000004,2.1375341553972958e-12
10,-35.6,8.333634257082078e-12
10,-35.400000000000006,1.555322497406302e-11
10,-35.2,1.7321378541737193e-11
10,-35.0,1.8861038908790602e-11
10,-34.800000000000004,3.011363218961344e-11
10,-34.6,1.9438105495118382e-11
10,-34.400000000000006,2.818690306184278e-12
10,-34.2,1.670856375256593e-11
10,-34.0,7.839463068767769e-12
10,-33.800000000000004,1.329987613873877e-11
10,-33.6,2.5740863418371003e-11
10,-33.4,2.3719383486243398e-11
10,-33.2,1.5790129647872036e-11
10,-33.0,2.2541834519491748e-11
10,-32.800000000000004,5.282903054005906e-11
10,-32.6,1.686576927844924e-11
10,-32.4,3.6089352093122824e-12
10,-32.2,1.0599135451008898e-11
10,-32.0,4.793070632111267e-12
10,-31.8,2.117054532908633e-12
10,-31.599999999999998,1.3482797901661928e-12
10,-31.4,5.564973220826808e-12
10,-31.2,9.385084103986017e-13
10,-31.0,1.1496998898630178e-11
10,-30.799999999999997,2.0380049961412145e-11
10,-30.599999999999998,1.3715392270708559e-11
10,-30.4,2.3299844441812427e-12
10,-30.2,1.1263487643294294e-11
10,-30.000000000000004,1.1327898040006614e-11
10,-29.8,3.965952214913779e-12
10,-29.6,1.59496339780718e-12
10,-29.400000000000002,6.5780911421529864e-12
10,-29.200000000000003,1.0458539085666324e-11
10,-29.0,3.814966203554718e-12
10,-28.8,1.7249686074332282e-12
10,-28.6,2.6464666907014034e-13
10,-28.400000000000002,5.011858416915978e-12
10,-28.2,3.594388894831466e-12
10,-28.0,5.938808787418993e-13
10,-27.800000000000004,2.6646690039028033e-12
10,-27.600000000000005,3.0498864904683308e-12
10,-27.400000000000002,3.4980539657525665e-12
10,-27.200000000000003,8.471955595094517e-12
10,-27.000000000000004,2.0391943996522453e-12
10,-26.800000000000004,7.888768483304089e-13
10,-26.6,9.262542375259544e-12
10,-26.400000000000002,1.955520712570341e-12
10,-26.200000000000003,2.044483683733231e-11
10,-26.000000000000004,1.323264847197933e-11
10,-25.8,4.4389186142918224e-13
10,-25.6,4.62859545743239e-12
10,-25.400000000000002,2.99169891367501e-11
10,-25.200000000000003,1.1324702415612691e-11
10,-25.0,1.1733022523511208e-11
10,-24.8,6.234315960454117e-12
10,-24.6,3.636622867034291e-11
10,-24.400000000000002,1.584109659205595e-11
10,-24.2,9.571500503265568e-12
10,-24.0,9.399418564871189e-12
10,-23.8,7.200815541456509e-12
10,-23.599999999999998,4.178271364185095e-11
10,-23.4,2.1768582264306738e-11
10,-23.2,2.515225400439736e-12
10,-23.0,1.978308391672377e-11
10,-22.799999999999997,4.756647451628506e-12
10,-22.599999999999998,5.399817159474181e-11
10,-22.400000000000002,2.4350089337201083e-11
10,-22.200000000000003,2.4891078572360412e-11
10,-22.000000000000004,1.0721323853374481e-11
10,-21.8,8.53491231816344e-12
10,-21.6,1.8085158093181462e-11
10,-21.400000000000002,9.083607944209706e-12
10,-21.200000000000003,1.9955384282420606e-12
10,-21.0,1.3804413754817252e-12
10,-20.8,1.3891631294397489e-12
10,-20.6,2.488690622345697e-12
10,-20.400000000000002,4.391595376910894e-12
10,-20.2,1.220532847970024e-13
10,-20.0,2.223341907978535e-12
10,-19.8,1.5304641152993045e-12
10,-19.599999999999998,2.16171469693718e-12
10,-19.4,1.2404106689047061e-12
10,-19.2,1.6069408451894743e-13
10,-19.0,4.4116203530700445e-14
10,-18.799999999999997,3.514173250207515e-14
10,-18.599999999999998,1.1468548055344754e-13
10,-18.4,2.6198281510146886e-13
10,-18.200000000000003,3.6436038329585405e-14
10,-18.000000000000004,9.586221458388232e-14
10,-17.8,2.172065709964236e-13
10,-17.6,2.4518002515737347e-13
10,-17.400000000000002,1.3263425855082167e-13
