Time_step,Omega_New,S_Omega
20,-20.900000000000002,8.280214481902632e-06
20,-20.7,1.2782041084694278e-05
20,-20.5,8.761925573371894e-06
20,-20.3,2.6136986878351424e-06
20,-20.1,3.2471548255082477e-06
20,-19.9,5.532180702933244e-06
20,-19.7,3.699206419410358e-06
20,-19.5,2.019665172046219e-06
20,-19.3,8.223962375477566e-07
20,-19.099999999999998,1.0658900903030225e-05
20,-18.9,1.1258109757762767e-05
20,-18.7,9.991894055774602e-06
20,-18.5,3.05653308620087e-06
20,-18.3,2.981769112793265e-06
20,-18.1,1.37025817841546e-05
20,-17.900000000000002,1.9673905385198145e-05
20,-17.700000000000003,1.2210616772521394e-05
20,-17.5,2.459185063312889e-06
20,-17.3,2.717584262645588e-06
20,-17.1,1.3373346624660107e-06
20,-16.900000000000002,2.9102746266167306e-06
20,-16.7,2.371315123642582e-05
20,-16.5,5.764585398967635e-05
20,-16.3,3.910046613058114e-05
20,-16.1,1.552066488438486e-05
20,-15.9,4.854436984282232e-06
20,-15.7,1.1886979871471517e-05
20,-15.5,7.598823871887798e-06
20,-15.299999999999999,1.7906111256718232e-05
20,-15.1,9.176226011590107e-06
20,-14.9,3.3136246495313245e-05
20,-14.700000000000001,2.2932549569795488e-05
20,-14.5,6.025154836728125e-07
20,-14.3,2.019882040423172e-06
20,-14.1,3.6157239810548386e-06
20,-13.900000000000002,6.850682463465155e-07
20,-13.700000000000001,2.1209255835432404e-06
20,-13.500000000000002,2.528041737655734e-06
20,-13.3,1.5953306771840018e-05
20,-13.100000000000001,7.2332341153420105e-06
20,-12.9,1.0051713753042853e-06
20,-12.700000000000001,4.37371895675812e-06
20,-12.5,9.584351521084713e-07
20,-12.3,3.973189658050965e-06
20,-12.1,7.756869804305451e-06
20,-11.9,4.229012151574997e-06
20,-11.7,9.779004975533056e-07
20,-11.5,6.404055744028482e-07
20,-11.299999999999999,3.3105146673696526e-06
20,-11.100000000000001,1.5914194995516849e-06
20,-10.9,6.5448543272250726e-06
20,-10.700000000000001,1.4898205088790572e-05
20,-10.5,8.139509509051111e-06
20,-10.3,2.1291310108341963e-06
20,-10.1,8.056907875218685e-07
